,Title,Year,Category,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
42,Red River ,1948.0,Action|Adventure|Romance|Western,English,USA,Approved,126.0,1.37,3000000.0,,Howard Hawks,Montgomery Clift,Walter Brennan,Harry Carey Jr.,393.0,862.0,376.0,281.0,2269,0,0.0,21316,162.0,91.0,7.8
43,The Pirate ,1948.0,Adventure|Comedy|Musical|Romance,English,USA,Approved,102.0,1.37,3700000.0,2956000.0,Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,136.0,89.0,78.0,48.0,282,359,0.0,3258,54.0,41.0,7.1
44,Sands of Iwo Jima ,1949.0,Action|Drama|Romance|War,English,USA,Approved,109.0,1.37,1000000.0,,Allan Dwan,James Brown,Richard Jaeckel,Forrest Tucker,23.0,183.0,102.0,88.0,510,624,0.0,7346,69.0,40.0,7.2
45,She Wore a Yellow Ribbon ,1949.0,Western,English,USA,Unrated,103.0,1.37,1600000.0,,John Ford,Harry Carey Jr.,Ben Johnson,Victor McLaglen,673.0,281.0,230.0,89.0,955,721,1.0,11920,90.0,55.0,7.4
46,Annie Get Your Gun ,1950.0,Biography|Comedy|Musical|Romance|Western,English,USA,Passed,107.0,1.37,3768785.0,8000000.0,George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,24.0,277.0,244.0,83.0,731,456,0.0,3167,90.0,21.0,7.0
47,A Streetcar Named Desire ,1951.0,Drama,English,USA,PG,125.0,1.37,1800000.0,,Elia Kazan,Marlon Brando,Karl Malden,Kim Hunter,603.0,10000.0,416.0,114.0,10570,5000,0.0,78454,233.0,94.0,8.0
48,Quo Vadis ,1951.0,Biography|Drama|History|Romance,English,USA,Passed,171.0,1.37,7623000.0,,Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,54.0,440.0,426.0,346.0,1373,1000,0.0,9808,90.0,54.0,7.2
49,Show Boat ,1951.0,Drama|Family|Musical|Romance,English,USA,Approved,108.0,1.33,2295429.0,,George Sidney,Agnes Moorehead,Ava Gardner,Howard Keel,24.0,960.0,715.0,244.0,2329,438,3.0,3538,46.0,14.0,7.0
50,Deadline - U.S.A. ,1952.0,Crime|Drama|Film-Noir,English,USA,,87.0,1.37,,,Richard Brooks,Humphrey Bogart,Jim Backus,Kim Hunter,174.0,2000.0,399.0,114.0,2831,169,0.0,1756,28.0,27.0,7.2
51,High Noon ,1952.0,Thriller|Western,English,USA,PG,85.0,1.37,750000.0,,Fred Zinnemann,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,160.0,998.0,575.0,433.0,2496,3000,0.0,80193,333.0,153.0,8.1
52,Singin' in the Rain ,1952.0,Comedy|Musical|Romance,English,USA,Approved,103.0,1.37,2540800.0,,Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,134.0,804.0,786.0,390.0,2510,0,0.0,150020,568.0,169.0,8.3
53,The Greatest Show on Earth ,1952.0,Drama|Family|Romance,English,USA,Not Rated,152.0,1.37,4000000.0,36000000.0,Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,309.0,232.0,178.0,132.0,825,625,0.0,9456,107.0,44.0,6.7
54,From Here to Eternity ,1953.0,Drama|Romance|War,English,USA,Not Rated,118.0,1.37,1650000.0,,Fred Zinnemann,Montgomery Clift,Donna Reed,Deborah Kerr,160.0,862.0,488.0,426.0,2247,0,5.0,33987,150.0,101.0,7.8
55,Niagara ,1953.0,Crime|Film-Noir|Thriller,English,USA,Approved,92.0,1.37,1250000.0,,Henry Hathaway,Joseph Cotten,Jean Peters,Will Wright,83.0,469.0,79.0,48.0,683,1000,0.0,11047,116.0,74.0,7.1
56,"The Beast from 20,000 Fathoms ",1953.0,Adventure|Horror|Sci-Fi,English,USA,Approved,80.0,1.37,210000.0,5000000.0,Eugène Lourié,Kenneth Tobey,Cecil Kellaway,Ross Elliott,7.0,57.0,40.0,21.0,205,465,0.0,4812,88.0,67.0,6.7
57,The Robe ,1953.0,Drama|History,English,USA,Unrated,135.0,2.2,5000000.0,36000000.0,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,28.0,726.0,422.0,275.0,1920,0,1.0,6359,69.0,42.0,6.8
58,"20,000 Leagues Under the Sea ",1954.0,Adventure|Drama|Family|Fantasy|Sci-Fi,English,USA,Approved,127.0,1.37,5000000.0,,Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,130.0,617.0,53.0,51.0,799,0,0.0,22123,108.0,69.0,7.2
59,"20,000 Leagues Under the Sea ",1954.0,Adventure|Drama|Family|Fantasy|Sci-Fi,English,USA,Approved,127.0,1.37,5000000.0,,Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,130.0,618.0,53.0,51.0,800,0,0.0,22124,108.0,69.0,7.2
60,On the Waterfront ,1954.0,Crime|Drama|Romance,English,USA,Not Rated,108.0,1.85,910000.0,9600000.0,Elia Kazan,Marlon Brando,Karl Malden,Rod Steiger,603.0,10000.0,416.0,279.0,11094,0,2.0,100890,281.0,134.0,8.2
61,Seven Samurai ,1954.0,Action|Adventure|Drama,Japanese,Japan,Unrated,202.0,1.37,2000000.0,269061.0,Akira Kurosawa,Takashi Shimura,Minoru Chiaki,Kamatari Fujiwara,0.0,304.0,8.0,4.0,338,11000,6.0,229012,596.0,153.0,8.7
62,The Egyptian ,1954.0,Drama|History,English,USA,Approved,139.0,2.55,5000000.0,,Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,345.0,535.0,440.0,422.0,2112,376,0.0,2498,67.0,15.0,6.6
63,Ordet ,1955.0,Drama|Fantasy,Danish,Denmark,Not Rated,126.0,1.37,,,Carl Theodor Dreyer,Hanne Aagesen,Sylvia Eckhausen,Ejner Federspiel,147.0,0.0,0.0,0.0,0,863,0.0,9903,49.0,54.0,8.1
64,The Trouble with Harry ,1955.0,Comedy|Mystery|Romance,English,USA,Approved,99.0,1.5,1200000.0,,Alfred Hitchcock,Jerry Mathers,John Forsythe,Royal Dano,13000.0,282.0,255.0,232.0,1041,0,0.0,24891,150.0,73.0,7.2
65,Love Me Tender ,1956.0,Drama|Romance|Western,English,USA,,89.0,2.35,1000000.0,,Robert D. Webb,James Drury,Neville Brand,Debra Paget,0.0,356.0,110.0,102.0,831,365,1.0,2636,36.0,39.0,6.2
66,Moby Dick ,1956.0,Adventure|Drama,English,USA,Unrated,115.0,1.66,4500000.0,,John Huston,Royal Dano,Richard Basehart,James Robertson Justice,1000.0,232.0,169.0,68.0,588,0,0.0,13474,115.0,42.0,7.4
67,Trapeze ,1956.0,Drama|Romance,English,USA,Approved,105.0,2.35,4000000.0,,Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,82.0,746.0,119.0,69.0,986,283,0.0,3102,35.0,20.0,6.8
68,12 Angry Men ,1957.0,Crime|Drama,English,USA,Not Rated,96.0,1.66,350000.0,,Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,0.0,359.0,259.0,253.0,1433,40000,1.0,447785,888.0,177.0,8.9
69,The Bridge on the River Kwai ,1957.0,Adventure|Drama|War,English,UK,PG,161.0,2.35,3000000.0,27200000.0,David Lean,William Holden,Sessue Hayakawa,Jack Hawkins,767.0,682.0,119.0,87.0,1035,0,2.0,149444,273.0,122.0,8.2
70,Cat on a Hot Tin Roof ,1958.0,Drama|Romance,English,USA,Approved,108.0,1.85,3000000.0,,Richard Brooks,Burl Ives,Judith Anderson,Jack Carson,174.0,253.0,197.0,110.0,649,0,0.0,33741,141.0,70.0,8.1
71,Solomon and Sheba ,1959.0,Drama|History|Romance|War,English,USA,,141.0,2.2,5000000.0,,King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,54.0,746.0,333.0,70.0,1332,270,2.0,2017,33.0,14.0,6.2
72,Some Like It Hot ,1959.0,Comedy|Music|Romance,English,USA,Not Rated,120.0,1.66,2883848.0,25000000.0,Billy Wilder,Nehemiah Persoff,Joe E. Brown,George Raft,0.0,105.0,103.0,102.0,527,10000,2.0,175196,350.0,181.0,8.3
73,The Nun's Story ,1959.0,Drama,English,USA,Not Rated,149.0,1.78,3500000.0,,Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,160.0,157.0,139.0,75.0,646,930,0.0,7071,83.0,25.0,7.6
74,Elmer Gantry ,1960.0,Drama,English,USA,Approved,146.0,1.66,3000000.0,,Richard Brooks,Shirley Jones,Jean Simmons,Edward Andrews,174.0,556.0,422.0,125.0,1444,808,1.0,7998,81.0,42.0,7.9
75,Psycho ,1960.0,Horror|Mystery|Thriller,English,USA,R,108.0,1.85,806947.0,32000000.0,Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,13000.0,606.0,332.0,285.0,1885,18000,2.0,422432,1040.0,290.0,8.5
76,The Apartment ,1960.0,Comedy|Drama|Romance,English,USA,Approved,125.0,2.35,3000000.0,,Billy Wilder,Fred MacMurray,Ray Walston,David White,0.0,516.0,417.0,180.0,1328,0,2.0,109335,241.0,183.0,8.3
77,Judgment at Nuremberg ,1961.0,Drama|War,English,USA,Not Rated,186.0,1.75,3000000.0,,Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy,176.0,877.0,862.0,760.0,3847,0,0.0,44457,176.0,73.0,8.3
78,Pocketful of Miracles ,1961.0,Comedy|Drama,English,USA,Approved,136.0,2.35,2900000.0,,Frank Capra,Ann-Margret,Glenn Ford,Thomas Mitchell,964.0,931.0,416.0,248.0,2167,612,2.0,4313,40.0,21.0,7.3
79,The Hustler ,1961.0,Drama|Sport,English,USA,Unrated,134.0,2.35,2000000.0,,Robert Rossen,George C. Scott,Jackie Gleason,Murray Hamilton,31.0,654.0,491.0,366.0,2290,0,1.0,62860,167.0,100.0,8.0
80,The Misfits ,1961.0,Drama|Romance|Western,English,USA,Approved,120.0,1.66,4000000.0,,John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,1000.0,862.0,403.0,268.0,1652,0,2.0,12981,121.0,70.0,7.4
81,West Side Story ,1961.0,Crime|Drama|Musical|Romance|Thriller,English,USA,Unrated,152.0,2.2,6000000.0,43650000.0,Jerome Robbins,Rita Moreno,George Chakiris,Richard Beymer,34.0,804.0,271.0,249.0,1802,0,0.0,71919,316.0,120.0,7.6
82,Dr. No ,1962.0,Action|Adventure|Thriller,English,UK,Approved,110.0,1.37,1100000.0,16067035.0,Terence Young,Ursula Andress,Jack Lord,Lois Maxwell,92.0,650.0,275.0,177.0,1421,5000,4.0,116642,389.0,184.0,7.3
83,Lawrence of Arabia ,1962.0,Adventure|Biography|Drama|History|War,English,UK,PG,227.0,2.2,15000000.0,6000000.0,David Lean,Claude Rains,José Ferrer,Jack Hawkins,767.0,607.0,202.0,87.0,1076,11000,8.0,192775,559.0,181.0,8.4
84,Lolita ,1962.0,Crime|Drama|Romance,English,UK,Not Rated,152.0,1.66,2000000.0,,Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,0.0,617.0,367.0,177.0,1403,0,0.0,67822,207.0,103.0,7.7
85,Lolita ,1962.0,Crime|Drama|Romance,English,UK,Not Rated,152.0,1.66,2000000.0,,Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,0.0,618.0,367.0,177.0,1404,0,0.0,67825,207.0,103.0,7.7
86,The Brain That Wouldn't Die ,1962.0,Horror|Sci-Fi,English,USA,Approved,70.0,1.66,62000.0,,Joseph Green,Virginia Leith,Jason Evers,Bruce Kerr,2.0,24.0,16.0,6.0,52,1000,1.0,4752,152.0,95.0,4.1
87,The Longest Day ,1962.0,Action|Drama|History|War,English,USA,G,178.0,2.35,10000000.0,,Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,19.0,726.0,249.0,196.0,1554,0,3.0,43270,192.0,53.0,7.8
88,The Man Who Shot Liberty Valance ,1962.0,Drama|Western,English,USA,Approved,113.0,1.85,3200000.0,,John Ford,Lee Marvin,Woody Strode,Vera Miles,673.0,756.0,423.0,332.0,2693,0,1.0,53741,214.0,107.0,8.1
89,To Kill a Mockingbird ,1962.0,Crime|Drama,English,USA,Not Rated,129.0,1.85,2000000.0,,Robert Mulligan,Robert Duvall,Brock Peters,William Windom,89.0,3000.0,226.0,161.0,3833,15000,0.0,215086,471.0,127.0,8.4
90,55 Days at Peking ,1963.0,Action|Adventure|Drama|History|War,English,USA,Unrated,154.0,2.2,9000000.0,,Nicholas Ray,Ava Gardner,David Niven,John Ireland,117.0,715.0,490.0,86.0,1567,419,3.0,4550,50.0,15.0,6.8
91,Cleopatra ,1963.0,Biography|Drama|History|Romance,English,UK,Approved,251.0,2.2,31115000.0,57750000.0,Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,311.0,940.0,726.0,595.0,2957,0,2.0,21554,192.0,72.0,7.0
92,Donovan's Reef ,1963.0,Adventure|Comedy|Romance,English,USA,Not Rated,109.0,1.85,2686585.0,,John Ford,Lee Marvin,Cesar Romero,Jack Warden,673.0,756.0,370.0,359.0,1949,573,1.0,5786,65.0,27.0,6.9
93,From Russia with Love ,1963.0,Action|Adventure|Thriller,English,UK,Approved,115.0,1.37,2000000.0,24800000.0,Terence Young,Robert Shaw,Daniela Bianchi,Lois Maxwell,92.0,559.0,201.0,177.0,1456,0,0.0,89403,358.0,167.0,7.5
94,Hud ,1963.0,Drama,English,USA,Approved,112.0,2.35,2500000.0,,Martin Ritt,Patricia Neal,Melvyn Douglas,Whit Bissell,58.0,617.0,189.0,124.0,1141,1000,0.0,15277,120.0,65.0,7.9
95,"It's a Mad, Mad, Mad, Mad World ",1963.0,Action|Adventure|Comedy|Crime,English,USA,Approved,197.0,2.76,9400000.0,46300000.0,Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,176.0,924.0,898.0,760.0,4109,0,0.0,29323,344.0,61.0,7.6
96,The Great Escape ,1963.0,Adventure|Drama|History|Thriller|War,English,USA,Approved,172.0,2.35,4000000.0,,John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,120.0,773.0,742.0,145.0,1785,8000,0.0,165638,301.0,111.0,8.3
97,Tom Jones ,1963.0,Adventure|Comedy|History,English,UK,Unrated,121.0,1.37,1000000.0,,Tony Richardson,Albert Finney,Susannah York,Hugh Griffith,62.0,883.0,269.0,69.0,1371,328,1.0,8508,56.0,30.0,6.8
98,A Fistful of Dollars ,1964.0,Action|Drama|Western,Italian,Italy,R,99.0,2.35,200000.0,3500000.0,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,0.0,16000.0,360.0,93.0,16534,0,1.0,147566,235.0,122.0,8.0
99,A Hard Day's Night ,1964.0,Comedy|Musical,English,UK,Approved,87.0,1.75,560000.0,515005.0,Richard Lester,Paul McCartney,Ringo Starr,George Harrison,44.0,785.0,725.0,704.0,2538,0,1.0,31429,219.0,105.0,7.7
100,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964.0,Comedy,English,USA,PG,95.0,1.66,1800000.0,,Stanley Kubrick,George C. Scott,Slim Pickens,Keenan Wynn,0.0,654.0,575.0,277.0,1991,18000,0.0,342585,839.0,192.0,8.5
101,Goldfinger ,1964.0,Action|Adventure|Thriller,English,UK,Approved,110.0,1.37,3000000.0,51100000.0,Guy Hamilton,Honor Blackman,Gert Fröbe,Lois Maxwell,82.0,387.0,202.0,177.0,1198,0,2.0,139432,418.0,164.0,7.8
102,Mary Poppins ,1964.0,Comedy|Family|Fantasy|Musical,English,USA,Approved,139.0,1.66,6000000.0,102300000.0,Robert Stevenson,Ed Wynn,Glynis Johns,Elsa Lanchester,55.0,382.0,279.0,266.0,2045,0,2.0,107408,259.0,145.0,7.8
103,My Fair Lady ,1964.0,Drama|Family|Musical|Romance,English,USA,Approved,170.0,2.2,17000000.0,72000000.0,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,165.0,453.0,272.0,244.0,1164,0,1.0,66959,258.0,82.0,7.9
104,Nothing But a Man ,1964.0,Drama|Romance,English,USA,Not Rated,95.0,,160000.0,12438.0,Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,0.0,581.0,99.0,87.0,835,363,1.0,891,26.0,24.0,8.1
105,The Fall of the Roman Empire ,1964.0,Drama|History|War,English,USA,Approved,172.0,2.2,19000000.0,,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,75.0,617.0,134.0,102.0,1131,560,0.0,6156,91.0,30.0,6.7
106,The Train ,1964.0,Thriller|War,English,France,Unrated,133.0,1.66,6700000.0,,John Frankenheimer,Jeanne Moreau,Paul Scofield,Michel Simon,287.0,343.0,94.0,28.0,502,0,0.0,10119,124.0,64.0,7.9
